Date 20.07.2020 15:06:39
Wavelength / nm,Intensity / a.u.
Data
383.65295,21642.0
383.65912,21618.0
383.66528,21632.0
383.67145,21665.0
383.67761,21726.0
383.68381,21846.0
383.68997,21875.0
383.69614,21762.0
383.7023,21790.0
383.70847,21686.0
383.71463,21735.0
383.72079,21630.0
383.72699,21614.0
383.73315,21619.0
383.73932,21552.0
383.74548,21596.0
383.75165,21625.0
383.75781,21541.0
383.76401,21498.0
383.77017,21511.0
383.77634,21709.0
383.7825,21734.0
383.78867,21865.0
383.79483,22022.0
383.80099,21949.0
383.80719,21931.0
383.81335,21873.0
383.81952,21806.0
383.82568,21644.0
383.83185,21688.0
383.83801,21591.0
383.84418,21506.0
383.85034,21553.0
383.85654,21628.0
383.8627,21606.0
383.86887,21680.0
383.87503,21665.0
383.8812,21664.0
383.88736,21665.0
383.89352,21562.0
383.89969,21586.0
383.90585,21614.0
383.91202,21709.0
383.91821,21777.0
383.92438,21845.0
383.93054,21775.0
383.93671,21821.0
383.94287,21887.0
383.94904,21914.0
383.9552,21873.0
383.96136,21870.0
383.96753,21752.0
383.97369,21776.0
383.97986,21773.0
383.98605,21621.0
383.99222,21622.0
383.99838,21589.0
384.00455,21529.0
384.01071,21507.0
384.01688,21551.0
384.02304,21504.0
384.02921,21601.0
384.03537,21653.0
384.04153,21783.0
384.0477,21717.0
384.05386,21722.0
384.06003,21673.0
384.06619,21686.0
384.07236,21716.0
384.07852,21725.0
384.08469,21873.0
384.09088,21805.0
384.09705,21804.0
384.10321,21791.0
384.10938,21713.0
384.11554,21631.0
384.1217,21571.0
384.12787,21560.0
384.13403,21642.0
384.1402,21637.0
384.14636,21676.0
384.15253,21820.0
384.15869,21860.0
384.16486,21928.0
384.17102,22007.0
384.17719,22088.0
384.18335,22071.0
384.18951,21953.0
384.19568,21980.0
384.20184,21800.0
384.20801,21642.0
384.21417,21662.0
384.22034,21562.0
384.2265,21566.0
384.23267,21674.0
384.23883,21741.0
384.245,21643.0
384.25116,21691.0
384.25732,21733.0
384.26349,21662.0
384.26965,21796.0
384.27582,21688.0
384.28198,21793.0
384.28815,21825.0
384.29431,21805.0
384.30048,21897.0
384.30664,21738.0
384.31281,21734.0
384.31897,21708.0
384.32513,21703.0
384.3313,21774.0
384.33746,21723.0
384.34363,21660.0
384.34979,21775.0
384.35596,21776.0
384.36209,21851.0
384.36826,21820.0
384.37442,21849.0
384.38058,21801.0
384.38675,21715.0
384.39291,21845.0
384.39908,21650.0
384.40524,21562.0
384.41141,21610.0
384.41757,21576.0
384.42374,21672.0
384.4299,21612.0
384.43607,21747.0
384.44223,21653.0
384.44839,21725.0
384.45456,21761.0
384.46072,21769.0
384.46686,21736.0
384.47302,21818.0
384.47919,21749.0
384.48535,21806.0
384.49152,21770.0
384.49768,21704.0
384.50385,21775.0
384.51001,21648.0
384.51617,21791.0
384.52234,21746.0
384.5285,21828.0
384.53464,21819.0
384.5408,21955.0
384.54697,21885.0
384.55313,21924.0
384.5593,21843.0
384.56546,21762.0
384.57162,21863.0
384.57779,21787.0
384.58395,21732.0
384.59012,21887.0
384.59625,21803.0
