Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
428.83005,17655.0
428.83597,18971.0
428.84189,19404.0
428.84781,18971.0
428.85376,18150.0
428.85968,17844.0
428.8656,17863.0
428.87152,17726.0
428.87747,17192.0
428.88339,16377.0
428.88931,15634.0
428.89523,15272.0
428.90115,15128.0
428.9071,15045.0
428.91302,14964.0
428.91895,15176.0
428.92487,15119.0
428.93079,15355.0
428.93674,15489.0
428.94266,15439.0
428.94858,15330.0
428.9545,15216.0
428.96042,15316.0
428.96637,15279.0
428.97229,15223.0
428.97821,15319.0
428.98413,15101.0
428.99005,14962.0
428.99597,14943.0
429.00192,14868.0
429.00784,14841.0
429.01376,14841.0
429.01968,15031.0
429.0256,15093.0
429.03156,15051.0
429.03748,15309.0
429.0434,16284.0
429.04932,18125.0
429.05524,21057.0
429.06116,24181.0
429.06711,26845.0
429.07303,28477.0
429.07895,29143.0
429.08487,27714.0
429.09079,24588.0
429.09671,20668.0
429.10263,17519.0
429.10858,15826.0
429.1145,15189.0
429.12042,15020.0
429.12634,14884.0
429.13226,15020.0
429.13818,15255.0
429.1441,15845.0
429.15005,17141.0
429.15598,19475.0
429.1619,23005.0
429.16782,26807.0
429.17374,28564.0
429.17966,27552.0
429.18558,23920.0
429.1915,19720.0
429.19745,16749.0
429.20337,15533.0
429.20929,15456.0
429.21521,15711.0
429.22113,16142.0
429.22705,16531.0
429.23297,16368.0
429.23889,16120.0
429.24481,15858.0
429.25073,15923.0
429.25668,17105.0
429.2626,19448.0
429.26852,22954.0
429.27444,25856.0
429.28036,26211.0
429.28629,23671.0
429.29221,20007.0
429.29813,16954.0
429.30405,15461.0
429.30997,14962.0
429.31589,14855.0
429.32181,14764.0
429.32776,14766.0
429.33368,14758.0
429.3396,14801.0
429.34552,14861.0
429.35144,14845.0
429.35736,14874.0
429.36328,14983.0
429.3692,15083.0
429.37512,15385.0
429.38104,15869.0
429.38696,16163.0
429.39288,16323.0
429.3988,16121.0
429.40472,15814.0
429.41064,15445.0
429.41656,15258.0
429.42249,15224.0
429.42844,15261.0
429.43436,15245.0
429.44028,15446.0
429.4462,15785.0
429.45212,16542.0
429.45804,17844.0
429.46396,20062.0
429.46988,22371.0
429.4758,24326.0
429.48172,25407.0
429.48764,25410.0
429.49356,24185.0
429.49948,22251.0
429.5054,20055.0
429.51132,18404.0
429.51724,17391.0
429.52316,16815.0
429.52908,16324.0
429.535,15779.0
429.54092,15689.0
429.54684,15342.0
429.55276,15154.0
429.55869,15097.0
429.56461,15107.0
429.57053,15185.0
429.57645,15623.0
429.58237,16306.0
429.58829,16773.0
429.59421,16967.0
429.60013,16629.0
429.60605,16194.0
429.61197,16305.0
429.61789,17708.0
429.62381,20013.0
429.62973,22443.0
429.63565,23173.0
429.64157,22273.0
429.64749,21016.0
429.65341,20971.0
429.65933,22502.0
429.66525,23861.0
429.67117,23701.0
429.67706,22883.0
429.68298,22640.0
429.6889,23668.0
429.69482,24712.0
429.70074,24099.0
429.70667,22351.0
429.71259,20422.0
429.71851,19433.0
429.72443,18702.0
429.73035,18005.0
429.73627,17587.0
429.74219,17438.0
429.74811,18063.0
429.75403,20056.0
429.75995,22701.0
429.76587,25314.0
429.77179,25799.0
429.77768,23741.0
429.7836,20609.0
429.78952,17935.0
429.79544,16520.0
429.80136,15852.0
429.80728,15414.0
429.8132,15293.0
429.81912,15401.0
429.82504,15653.0
429.83096,16558.0
429.83688,18733.0
429.8428,21937.0
429.84869,24576.0
429.85461,25417.0
429.86053,23820.0
429.86646,21629.0
429.87238,20597.0
429.8783,21525.0
429.88422,23735.0
429.89014,25252.0
429.89606,25034.0
429.90198,22988.0
429.90787,20548.0
429.91379,18740.0
429.91971,17869.0
429.92563,17402.0
429.93155,17228.0
429.93747,17023.0
429.94339,16929.0
429.94931,16979.0
429.9552,17060.0
429.96112,16845.0
429.96704,16374.0
429.97296,15986.0
429.97888,16074.0
429.9848,16863.0
429.99072,18513.0
429.99661,20514.0
430.00253,22052.0
430.00845,22378.0
430.01437,22883.0
430.02029,24327.0
430.02621,26360.0
430.03214,27311.0
430.03802,25740.0
430.04395,22969.0
430.04987,20633.0
430.05579,19752.0
430.06171,20943.0
430.06763,22890.0
430.07352,25010.0
430.07944,25889.0
430.08536,25258.0
430.09128,22991.0
430.0972,20223.0
430.10309,17711.0
430.10901,16217.0
430.11493,15562.0
430.12085,15413.0
430.12677,15651.0
430.13269,16093.0
430.13858,16713.0
430.1445,17277.0
430.15042,17853.0
430.15634,18084.0
430.16226,17774.0
430.16815,17500.0
430.17407,17322.0
430.17999,18113.0
430.18591,20496.0
430.19183,24071.0
430.19772,27017.0
430.20364,27237.0
430.20956,24706.0
430.21548,21114.0
430.22137,18499.0
430.22729,18239.0
430.23322,20237.0
430.23914,23388.0
430.24506,26258.0
430.25095,28245.0
430.25687,28474.0
430.26279,27149.0
430.26871,24725.0
430.2746,22231.0
430.28052,20232.0
430.28644,18730.0
430.29236,17839.0
430.29825,17687.0
430.30417,18383.0
430.31009,19494.0
430.31601,20741.0
430.3219,21304.0
430.32782,21312.0
430.33374,21662.0
430.33966,22815.0
430.34555,25871.0
430.35147,30826.0
430.35739,36802.0
430.36331,40087.0
430.3692,38673.0
430.37512,32724.0
430.38104,26065.0
430.38696,21076.0
430.39285,19823.0
430.39877,21023.0
430.40469,22877.0
430.41058,24757.0
430.4165,25852.0
430.42242,26272.0
430.42834,26364.0
430.43423,25798.0
430.44016,24030.0
430.44608,21944.0
430.45197,19758.0
430.45789,18386.0
430.46381,17737.0
430.4697,17683.0
430.47562,17873.0
430.48154,18650.0
430.48746,19523.0
430.49335,21112.0
430.49927,23392.0
430.50519,26242.0
430.51108,28180.0
430.517,27912.0
430.52292,26032.0
430.52881,22816.0
430.53473,20811.0
430.54065,20511.0
430.54654,22555.0
430.55246,26297.0
430.55838,29990.0
430.56427,31821.0
430.57019,31567.0
430.57611,29410.0
430.582,27521.0
430.58792,26028.0
430.59384,24345.0
430.59973,21946.0
430.60565,19322.0
430.61157,17374.0
430.61746,16746.0
430.62338,17541.0
430.6293,19783.0
430.63519,23231.0
430.64111,27330.0
430.647,31021.0
