Date 20.07.2020 15:06:39
P,e,a,k, ,h,e,i,g,h,t,:, ,0,.,0,8,6,7,7,8,1,9,8,2,6,6,7,2,3,9,2
P,e,a,k, ,a,r,e,a,:, ,0,.,0,0,2,4,7,9,5,6,3,5,2,5,8,7,8,4,5,2,5
B,a,s,e,l,i,n,e,:, ,2,1,7,5,6,.,9,1,1,8,5,6,8,9,1,7,3,3
E,x,a,m,p,l,e, ,P,e,a,k,:, ,2,0,0,.,8,9,6,6,9,8,0,3,1,7,5,7,1,8
Wavelength / nm,Intensity / a.u.
Data
426.70029,-0.021551257648403037
426.70648,-0.01496219707779626
426.71268,-0.015497142669638517
426.71884,-0.009826996986578277
426.72504,-0.0069144291429771
426.73123,-0.00859793543770071
426.73743,-0.010005501001469998
426.74359,-0.011642712380574273
426.74979,-0.0042711262059149345
426.75598,-0.0053104941599253
426.76218,-0.0023969293157408296
426.76834,-0.001275732419434625
426.77454,0.0009027655667762518
426.78073,0.002759692396639531
426.78693,0.00218077733972159
426.79312,0.007163478823066972
426.79929,0.009020902163882186
426.80548,0.008442483352671051
426.81168,0.010759861311324451
426.81787,0.007424028572833349
426.82404,0.011534270548241793
426.83023,0.0058546851761615126
426.83643,0.0008187383624840705
426.84259,0.0037804148605960165
426.84879,0.0032950756720280094
426.85498,0.007589991250131067
426.86118,0.005542259433264676
426.86734,0.0017940830644013028
426.87354,0.0019528754969992317
426.87973,0.003260892326968519
426.88593,0.004660998144884388
426.89209,0.010151922120061642
426.89828,0.014310100343256513
426.90448,0.012401404984143816
426.91068,0.007643204322596748
426.91684,0.011480137180254452
426.92303,0.007549587195692789
426.92923,0.007755817243163185
426.93539,0.007272774681818265
426.94159,0.01037496311254007
426.94778,0.00943262317354412
426.95395,0.010926453918253497
426.96014,0.015178192095081767
426.96634,0.006192920584694715
426.97253,0.01288099220801063
426.9787,0.011939467409155078
426.98489,0.007780737004794218
426.99109,0.005230853458944891
426.99725,0.0027270949043097814
427.00345,0.004038378483896719
427.00964,0.0011212831885698714
427.01581,-0.0026229730807521873
427.022,0.0022279026660738544
427.0282,-4.5232258718650056e-05
427.03439,0.0013587872928519519
427.04056,-0.0009599860146926821
427.04675,0.005086560313944084
427.05295,0.0032277347278606345
427.05911,0.011021175948443873
427.06531,0.00957633532490012
427.0715,0.011624799026183505
427.07767,0.007882161101104637
427.08386,0.006483767192491343
427.09006,0.005958820243567992
427.09622,0.0018030044503162107
427.10242,0.003944199260753351
427.10861,0.004522833286788455
427.11478,-0.00045982281772314243
427.12097,0.0009924186319925027
427.12717,0.00037651257418694323
427.13333,0.0001284663992922666
427.13953,6.443039784799472e-05
427.14569,0.006297404381186788
427.15189,0.005590215545650448
427.15808,0.005296848644625692
427.16425,0.005555190805481205
427.17044,0.007468339666071994
427.17664,0.0006947539541993244
427.1828,0.0072963881068537125
427.189,0.0010746710367005893
427.19519,0.008917609733163247
427.20135,0.004764520324691237
427.20755,0.007551913690508966
427.21371,0.007719609447859313
427.21991,0.007795539797696384
427.2261,0.008652990351568881
427.23227,0.011395058747332312
427.23846,0.012620526907238071
427.24466,0.01191573309551954
427.25082,0.013830955344626996
427.25702,0.010644509482252934
427.26318,0.011962538119586209
427.26938,0.0075813872002115385
427.27557,0.009543206814164297
427.28174,0.003277914405209705
427.28793,0.007584133636788222
427.2941,0.002606105347620348
427.30029,0.006453017122227622
427.30649,0.007910041988447178
427.31265,0.012630555704999227
427.31885,0.004389829126243252
427.32501,0.0010212754051337216
427.33121,0.002708744074300417
427.3374,0.006740453134914154
427.34357,-0.0014536799692605135
427.34976,-0.005005452595755436
427.35593,0.001186962151014466
427.36212,-0.0036974054007176313
427.36832,0.0023114743755160974
427.37448,-0.0014694809762667176
427.38068,0.0015981191600950987
427.38684,0.0010348462966190276
427.39304,0.0071362791234125126
427.3992,0.00583792154211465
427.4054,0.007527277053354906
427.41159,0.009170826821475433
427.41776,0.007413315173989054
427.42395,0.003357839748750443
427.43011,0.00587514467276861
427.43631,0.0007168842266371038
427.44247,-0.0003965283364378641
427.44867,0.0002367866320662092
427.45483,-0.00014091527194162276
427.46103,-0.0006563484369128271
427.46722,0.001310344148629562
427.47339,0.003415079727946284
427.47958,0.0031299259232528674
427.48575,0.004729386335431184
427.49194,0.006007265423525926
427.49811,0.0024132849782571198
427.5043,0.0014852793740561957
427.51047,0.0035909477645986467
427.51666,0.00565080890896453
427.52283,0.0038499830820540554
427.52902,0.006369778331956979
427.53519,0.0076027811283839826
427.54138,0.006859555304001049
427.54755,0.005427048117708564
427.55374,0.006017041391506016
427.55994,0.006101602747608598
427.5661,0.008530401223799416
427.5723,0.008247572152924789
427.57846,0.009619543946389615
427.58466,0.007314677505471979
427.59082,0.0075838598572889925
427.59702,0.0037165797452808997
427.60318,0.005502829401681269
427.60938,0.00770289453829171
427.61554,0.008110579614156078
427.62173,0.0012563583147693423
427.6279,0.006674252787752476
427.63409,0.004692353492870693
427.64026,0.006387600009672543
427.64645,-0.0012473684391936977
427.65262,0.0006320342149740244
427.65881,-0.0015331016683118209
427.66498,-0.002503061977682371
427.67117,-0.0037946061751740145
427.67734,0.000153716687410272
427.68353,-0.004033153409371328
427.6897,-0.0034857430807809027
427.69589,-0.0032139545887108698
427.70206,0.0033088735255226162
427.70822,-0.0012910480152521654
427.71442,-0.0008809150527475794
427.72058,0.00587218207719752
427.72678,0.007201867539285632
427.73294,0.0033839156766688897
427.73914,0.0024157849163918385
427.7453,-0.003148434482284959
427.7515,0.003927159365196237
427.75766,-0.0020963805758856917
