Date and Time:                Wed May 6 09:03:37.717 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
209.07944	19.9289
209.11234	25.1373
209.14523	23.8721
209.17813	19.3603
209.21103	21.7668
209.24393	20.6632
209.27682	20.7729
209.30972	19.3884
209.34262	15.6156
209.37552	15.7101
209.40842	19.94
209.4413	22.4839
209.4742	20.0198
209.5071	15.7142
209.53999	13.446
209.57289	15.4711
209.60579	16.996
209.63869	11.9864
209.67159	8.86182
209.70448	13.522
209.73738	22.3107
209.77026	24.6168
209.80316	21.1992
209.83606	17.9621
209.86896	15.6789
209.90186	15.747
209.93475	19.3532
209.96765	24.1347
210.00055	24.7817
210.03345	22.0764
210.06635	22.1048
210.09924	23.0973
210.13213	22.9934
210.16502	20.5769
210.19792	15.657
210.23082	16.0113
210.26372	20.0732
210.29662	21.4668
210.32951	23.2018
210.36241	28.6732
210.39531	30.3027
210.42821	24.2345
210.46111	20.0573
210.49399	18.6027
210.52689	20.2369
210.55978	23.0315
210.59268	22.7
210.62558	20.7424
210.65848	20.7074
210.69138	21.1336
210.72427	20.2496
210.75717	21.0388
210.79007	22.5001
210.82297	24.9695
210.85585	24.6988
210.88875	22.352
210.92165	20.1765
210.95454	21.1183
210.98744	27.674
211.02034	33.4784
211.05324	35.2354
211.08614	34.5688
211.11903	31.7913
211.15193	30.3588
211.18483	34.4813
211.21771	40.8602
211.25061	43.6838
211.28351	41.6452
211.31641	36.093
211.3493	31.1108
211.3822	28.5761
211.4151	30.2339
211.448	35.7372
211.4809	40.0253
211.51379	38.1059
211.54669	34.8175
211.57957	36.9138
211.61247	37.8748
211.64537	36.493
211.67827	33.6738
211.71117	30.6377
211.74406	31.71
211.77696	33.3093
211.80986	31.8542
211.84276	29.4461
211.87566	27.2276
211.90855	23.5538
211.94144	22.2795
211.97433	23.0658
212.00723	23.7359
212.04013	25.2755
212.07303	28.0398
212.10593	31.7835
212.13882	32.7556
212.17172	31.0814
212.20462	29.3868
212.23752	32.4835
212.2704	30.6592
212.3033	21.2802
212.3362	18.1397
212.36909	20.4547
212.40199	21.0124
212.43489	21.975
212.46779	22.325
212.50069	21.3397
212.53358	23.3614
212.56648	26.2236
212.59938	23.6276
212.63226	19.4635
212.66516	14.9378
212.69806	10.9786
212.73096	11.5631
212.76385	11.9553
212.79675	12.5343
212.82965	12.3661
212.86255	11.941
212.89545	16.4724
212.92834	19.8207
212.96124	19.3378
212.99413	19.6954
213.02702	21.4846
213.05992	24.0586
213.09282	25.9284
213.12572	23.9127
213.15862	20.5005
213.19151	19.4431
213.22441	18.0685
213.25731	14.4734
213.29021	11.976
213.3231	14.9858
213.35599	19.4856
213.38889	19.3869
213.42178	18.1682
213.45468	18.3143
213.48758	15.7189
213.52048	15.3647
213.55338	17.9218
213.58627	18.1624
213.61917	18.3949
213.65207	15.8455
213.68497	12.08
213.71785	10.3792
213.75075	10.2738
213.78365	11.1428
213.81654	12.6728
213.84944	11.1725
213.88234	9.03094
213.91524	10.0095
213.94814	9.05656
213.98103	5.65691
214.01393	10.0725
214.04683	15.9436
214.07971	16.0347
214.11261	12.4906
214.14551	8.84179
214.17841	10.63
214.2113	17.0056
214.2442	20.0985
214.2771	15.9286
214.31	9.05923
214.3429	1.49555
214.37579	-1.84982
214.40868	2.57284
214.44157	6.46605
214.47447	7.32903
214.50737	6.89056
214.54027	6.54295
214.57317	10.386
214.60606	15.7045
214.63896	18.7814
214.67186	20.5122
214.70476	22.6349
214.73766	24.355
214.77054	22.269
214.80344	17.8526
214.83633	13.6226
214.86923	12.991
214.90213	15.1177
214.93503	15.7882
214.96793	14.372
215.00082	15.086
215.03372	19.6408
215.06662	22.3848
215.09952	17.2099
215.1324	13.0006
215.1653	15.5395
215.1982	13.6511
215.23109	8.3536
215.26399	5.06479
215.29689	4.42042
215.32979	8.01243
215.36269	11.2033
215.39558	11.2504
215.42848	9.64525
215.46138	7.75708
215.49426	9.43062
215.52716	13.7297
215.56006	15.5414
215.59296	15.1184
215.62585	11.6154
215.65875	7.73513
215.69165	6.91617
215.72455	5.07737
215.75745	5.86955
215.79034	10.3063
215.82324	13.7728
215.85612	12.7655
215.88902	10.6777
215.92192	12.5636
215.95482	13.6557
215.98772	9.82613
216.02061	11.5964
216.05351	14.2926
216.08641	7.85112
216.11931	-0.342519
216.15221	-2.55544
216.1851	2.11912
216.21799	7.79748
216.25089	13.2999
216.28378	15.4974
216.31668	9.85596
216.34958	8.80561
216.38248	12.1262
216.41537	12.1985
216.44827	10.2314
216.48117	8.17882
216.51407	8.33177
216.54695	10.9465
216.57985	13.0382
216.61275	12.804
216.64565	7.79786
216.67854	3.47299
216.71144	7.73387
216.74434	13.4628
216.77724	15.3307
216.81013	12.7447
216.84303	10.338
216.87593	12.5088
216.90881	11.1003
216.94171	8.01098
216.97461	11.9005
217.00751	18.2164
217.04041	21.0457
217.0733	19.7056
217.1062	18.0051
217.1391	21.0602
217.172	22.003
217.2049	19.4671
217.23779	17.3085
217.27068	13.6645
217.30357	14.3581
217.33647	16.7738
217.36937	19.004
217.40227	20.7172
217.43517	22.0946
217.46806	21.8395
217.50096	18.9647
217.53386	19.0252
217.56676	21.1897
217.59966	21.1007
217.63254	20.0437
217.66544	23.4708
217.69833	26.127
217.73123	24.2136
217.76413	24.91
217.79703	21.8814
217.82993	16.9589
217.86282	15.5002
217.89572	16.7573
217.92862	17.4897
217.96152	16.2812
217.9944	11.7552
218.0273	9.83712
218.0602	13.6662
218.09309	16.263
218.12599	14.445
218.15889	13.1151
218.19179	13.3285
218.22469	11.7818
218.25758	9.65087
218.29048	10.3312
218.32338	15.5895
218.35626	20.8001
218.38916	21.9951
218.42206	19.2239
218.45496	13.9914
218.48785	11.869
218.52075	13.1195
218.55365	18.2473
218.58655	23.5193
218.61945	22.4951
218.65234	18.2004
218.68523	16.4087
218.71812	15.397
218.75102	15.735
218.78392	17.7165
218.81682	19.0024
218.84972	17.8184
218.88261	13.3108
218.91551	13.0547
218.94841	14.6163
218.98131	15.1137
219.01421	16.1612
219.04709	18.1871
219.07999	20.6486
219.11288	20.7003
219.14578	19.5255
219.17868	22.2818
219.21158	22.5108
219.24448	19.3195
219.27737	18.2903
219.31027	20.6245
219.34317	24.7307
219.37607	29.9613
219.40895	33.0115
219.44185	36.4852
219.47475	33.4522
219.50764	21.3219
219.54054	12.8499
219.57344	12.1986
219.60634	16.063
219.63924	19.8837
219.67213	19.9219
219.70503	15.4908
219.73793	8.37335
219.77081	4.03852
219.80371	8.81535
219.83661	18.427
219.86951	21.821
219.9024	19.2775
219.9353	20.022
219.9682	21.3678
220.0011	24.7954
220.034	27.012
220.06689	23.595
220.09979	21.4414
220.13268	21.6375
220.16557	21.0242
220.19847	20.1968
220.23137	23.5688
220.26427	28.4616
220.29716	29.8306
220.33006	27.6748
220.36296	25.8261
220.39586	28.4195
220.42876	28.7491
220.46165	24.8832
220.49454	21.3806
220.52744	21.501
220.56033	23.8321
220.59323	26.8181
220.62613	29.0006
220.65903	27.3168
220.69193	22.6506
220.72482	20.4411
220.75772	21.752
220.79062	24.9124
220.8235	27.9464
220.8564	29.7682
220.8893	32.5088
220.9222	34.3862
220.95509	33.8217
220.98799	32.158
221.02089	29.0634
221.05379	27.9977
221.08669	27.1226
221.11958	25.3279
221.15248	26.4046
221.18536	28.4032
221.21826	27.1662
221.25116	26.1557
221.28406	27.2223
221.31696	27.8728
221.34985	29.2586
221.38275	32.6287
221.41565	36.3196
221.44855	40.3768
221.48145	40.6654
221.51434	37.0137
221.54723	34.2327
221.58012	33.4758
221.61302	33.4614
221.64592	32.2969
221.67882	31.3353
221.71172	33.4516
221.74461	39.0466
221.77751	45.2427
221.81041	45.6823
221.84331	41.0731
221.87621	37.4486
221.90909	36.5987
221.94199	35.2849
221.97488	33.1778
222.00778	36.041
222.04068	38.804
222.07358	37.4957
222.10648	35.3424
222.13937	35.6034
222.17227	37.4781
222.20517	39.2856
222.23807	38.9303
222.27095	37.5393
222.30385	35.6426
222.33675	32.1334
222.36964	29.8892
222.40254	33.0871
222.43544	38.3564
222.46834	39.9373
222.50124	39.5014
222.53413	42.048
222.56703	42.2417
222.59993	40.1602
222.63281	41.3938
222.66571	44.1083
222.69861	47.0845
222.73151	46.2307
222.7644	41.2754
222.7973	39.6476
222.8302	38.4321
222.8631	36.4217
222.896	36.0308
222.92889	37.5583
222.96178	39.3837
222.99467	40.3597
223.02757	40.4021
223.06047	40.321
223.09337	44.2115
223.12627	50.8254
223.15916	43.6651
223.19206	36.0321
223.22496	33.175
223.25786	34.1827
223.29076	35.6578
223.32364	37.4126
223.35654	37.3605
223.38943	35.1685
223.42233	36.0906
223.45523	35.3761
223.48813	30.5752
223.52103	26.2395
223.55392	25.1705
223.58682	23.708
223.61972	21.1163
223.65262	20.189
223.6855	20.355
223.7184	18.3803
223.7513	16.6997
223.78419	16.516
223.81709	17.1681
223.84999	16.4142
223.88289	13.4126
