Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
384.04355	324
384.04974	313
384.05594	366
384.06213	364
384.06833	327
384.07452	362
384.08072	346
384.08691	383
384.09314	331
384.09933	365
384.10553	334
384.11172	342
384.11792	327
384.12411	330
384.13031	355
384.13651	382
384.1427	353
384.1489	349
384.15512	337
384.16132	391
384.16751	332
384.17371	391
384.1799	350
384.1861	294
384.19229	340
384.19849	392
384.20468	353
384.21088	331
384.21707	390
384.22327	409
384.22946	372
384.23569	350
384.24188	344
384.24808	377
384.25427	322
384.26047	357
384.26666	385
384.27286	330
384.27905	365
384.28525	352
384.29144	355
384.29764	343
384.30383	371
384.31003	366
384.31622	314
384.32242	383
384.32861	330
384.33481	374
384.341	348
384.3472	371
384.35339	329
384.35962	362
384.36581	370
384.37201	374
384.3782	347
384.3844	348
384.39059	362
384.39679	387
384.40298	381
384.40918	331
384.41537	360
384.42157	384
384.42776	363
384.43396	388
384.44016	333
384.44635	390
384.45255	352
384.45874	381
384.46494	368
384.47113	348
384.47733	343
384.48352	403
384.48972	363
384.49591	351
384.50211	319
384.5083	397
384.5145	348
384.52069	365
384.52689	356
384.53308	372
384.53928	358
384.54547	363
384.55167	357
384.55786	394
384.56406	388
384.57025	378
384.57645	376
384.58264	348
384.58884	377
384.59503	362
384.6012	380
384.60739	368
384.61359	319
384.61978	383
384.62598	387
384.63217	331
384.63837	405
384.64456	365
384.65076	337
384.65695	373
384.66315	387
384.66934	367
384.67554	349
384.68173	370
384.68793	380
384.69412	363
384.70032	375
