Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
209.04655	27.8024
209.07944	27.1077
209.11234	27.1143
209.14523	29.8403
209.17813	28.7455
209.21103	25.4302
209.24393	26.2478
209.27682	25.8681
209.30972	21.3112
209.34262	17.8808
209.37552	19.7352
209.40842	22.5374
209.4413	22.3533
209.4742	17.7472
209.5071	13.3513
209.53999	14.5319
209.57289	16.7587
209.60579	17.7852
209.63869	17.926
209.67159	17.0053
209.70448	16.9566
209.73738	23.5791
209.77026	32.2209
209.80316	33.2984
209.83606	25.3334
209.86896	19.6102
209.90186	20.4524
209.93475	22.9503
209.96765	23.2552
210.00055	22.5947
210.03345	24.4644
210.06635	26.5492
210.09924	26.234
210.13213	23.7158
210.16502	18.6184
210.19792	18.476
210.23082	21.4143
210.26372	20.9691
210.29662	25.3816
210.32951	29.5389
210.36241	26.5581
210.39531	23.9956
210.42821	23.1665
210.46111	21.8244
210.49399	23.4604
210.52689	27.1915
210.55978	30.8937
210.59268	33.1992
210.62558	32.5747
210.65848	29.345
210.69138	23.8968
210.72427	20.0136
210.75717	20.2212
210.79007	26.9544
210.82297	36.1852
210.85585	37.5876
210.88875	32.5652
210.92165	27.7006
210.95454	27.2429
210.98744	32.0973
211.02034	38.737
211.05324	39.5807
211.08614	36.2011
211.11903	35.505
211.15193	30.341
211.18483	24.8251
211.21771	29.0966
211.25061	34.6189
211.28351	33.1081
211.31641	31.5759
211.3493	33.8518
211.3822	36.0808
211.4151	38.6237
211.448	40.5352
211.4809	42.6101
211.51379	43.4228
211.54669	43.2146
211.57957	43.9311
211.61247	43.7858
211.64537	42.2915
211.67827	38.5261
211.71117	35.6923
211.74406	36.4214
211.77696	37.2558
211.80986	38.3762
211.84276	40.2775
211.87566	37.511
211.90855	31.4229
211.94144	27.0651
211.97433	25.6521
212.00723	28.2056
212.04013	29.9904
212.07303	29.6461
212.10593	29.8446
212.13882	31.1983
212.17172	29.1542
212.20462	23.3935
212.23752	22.7365
212.2704	24.5472
212.3033	23.0484
212.3362	22.9834
212.36909	27.5217
212.40199	31.0047
212.43489	28.9983
212.46779	27.9465
212.50069	30.7416
212.53358	30.8154
212.56648	28.517
212.59938	28.2836
212.63226	27.8839
212.66516	26.9977
212.69806	27.0979
212.73096	27.7781
212.76385	26.0779
212.79675	21.0824
212.82965	19.2914
212.86255	20.5629
212.89545	20.7243
212.92834	20.8902
212.96124	24.3605
212.99413	29.4338
