Date and Time:                Wed May 6 09:00:58.745 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
Grating Groove Density (l/mm):599.735
Grating Blaze:                400
Input Flipper Port:           Direct



200	0.0188875
200.0329	35.2758
200.0658	32.3993
200.09869	29.2441
200.13159	26.687
200.16447	24.7991
200.19737	27.2724
200.23027	33.8181
200.26317	37.1101
200.29607	31.3263
200.32896	20.268
200.36186	16.3464
200.39476	17.0849
200.42766	16.1871
200.46056	19.1025
200.49345	25.5441
200.52634	30.9909
200.55923	36.9968
200.59213	38.4598
200.62503	35.6583
200.65793	31.9801
200.69083	27.3757
200.72372	25.5517
200.75662	24.8446
200.78952	25.6791
200.82242	30.7145
200.85532	36.1655
200.8882	36.0971
200.9211	31.37
200.95399	24.3275
200.98689	18.3049
201.01979	16.4444
201.05269	18.1533
201.08559	19.6853
201.11848	20.6828
201.15138	25.0817
201.18428	25.7922
201.21716	21.304
201.25006	22.4232
201.28296	24.3934
201.31586	21.5369
201.34875	18.3148
201.38165	16.2253
201.41455	14.2041
201.44745	14.9116
201.48035	17.2739
201.51324	18.0407
201.54614	16.8617
201.57903	13.59
201.61192	9.19763
201.64482	7.1001
201.67772	6.48877
201.71062	15.9055
201.74352	28.7828
201.77641	30.8381
201.80931	27.0113
201.84221	25.7468
201.87511	28.29
201.908	30.2353
201.94089	29.8216
201.97379	28.5868
202.00668	23.7379
202.03958	20.1029
202.07248	27.7574
202.10538	37.0322
202.13828	35.3108
202.17117	29.3046
202.20407	22.7625
202.23697	19.1853
202.26987	22.6737
202.30275	29.1289
202.33565	31.0569
202.36855	28.0728
202.40144	22.997
202.43434	20.3423
202.46724	20.6337
202.50014	20.7766
202.53304	21.5502
202.56593	23.1787
202.59883	22.7726
202.63173	20.1448
202.66461	20.1992
202.69751	25.1172
202.73041	28.4549
202.76331	29.3699
202.7962	28.8304
202.8291	29.3513
202.862	27.7894
202.8949	23.9146
202.9278	23.8027
202.96069	27.9348
202.99359	30.6796
203.02647	30.2478
203.05937	29.0864
203.09227	27.8018
203.12517	28.4811
203.15807	27.4485
203.19096	22.806
203.22386	19.5629
203.25676	21.4196
203.28966	24.7635
203.32256	25.5353
203.35544	24.564
203.38834	23.1202
203.42123	24.1775
203.45413	28.0855
203.48703	30.7246
203.51993	29.7152
203.55283	25.6207
203.58572	22.8577
203.61862	24.319
203.65152	26.2208
203.68442	25.6489
203.7173	25.8088
203.7502	28.715
203.7831	31.0324
203.81599	34.6554
203.84889	37.3484
203.88179	35.3783
203.91469	31.2265
203.94759	28.3607
203.98048	28.431
204.01338	30.4496
204.04628	35.3396
204.07916	35.284
204.11206	31.7684
204.14496	31.7813
204.17786	30.7194
204.21075	27.8272
204.24365	26.9251
204.27655	27.9433
204.30945	28.8927
204.34235	26.4037
204.37524	28.8947
204.40814	37.8791
204.44102	43.2038
204.47392	42.4319
204.50682	37.4047
204.53972	35.531
204.57262	38.2217
204.60551	42.8049
204.63841	47.2962
204.67131	50.6575
204.70421	54.6416
204.73711	56.4693
204.77	59.821
204.80289	62.022
204.83578	58.597
204.86868	49.4239
204.90158	48.2223
204.93448	53.8077
204.96738	55.3552
205.00027	52.2407
205.03317	47.9793
205.06607	47.3155
205.09897	47.9902
205.13187	46.9559
205.16475	48.0902
205.19765	49.9565
205.23055	50.264
205.26344	49.9154
205.29634	48.4632
205.32924	46.2243
205.36214	42.8024
205.39503	39.2371
205.42793	36.8149
205.46083	30.2526
205.49371	25.775
205.52661	29.704
205.55951	35.3651
205.59241	35.3946
205.62531	33.2694
205.6582	32.7326
205.6911	32.5993
205.724	32.6503
205.7569	30.3771
205.78979	26.2977
205.82269	23.0217
205.85558	23.7219
205.88847	23.133
205.92137	23.919
205.95427	27.1676
205.98717	26.878
206.02007	25.9153
206.05296	22.3919
206.08586	17.6719
206.11876	15.006
206.15166	15.9348
206.18456	21.8051
206.21744	26.6187
206.25034	25.4531
206.28323	20.044
206.31613	14.8245
206.34903	16.4627
206.38193	19.0158
206.41483	15.5462
206.44772	14.9213
206.48062	19.3755
206.51352	19.7689
206.54642	16.717
206.5793	15.3932
206.6122	15.0677
206.6451	15.1007
206.67799	15.9201
206.71089	16.5852
206.74379	15.718
206.77669	13.0528
206.80959	12.4093
206.84248	14.1795
206.87538	16.4021
206.90828	16.5568
206.94116	14.6813
206.97406	15.3833
207.00696	19.4235
207.03986	23.5514
207.07275	25.379
207.10565	21.1538
207.13855	17.8377
207.17145	19.3793
207.20435	19.0163
207.23724	21.4247
207.27014	25.6651
207.30302	25.7036
207.33592	22.0529
207.36882	19.0579
207.40172	19.3309
207.43462	17.0583
207.46751	13.1036
207.50041	10.8952
207.53331	9.97297
207.56621	13.6582
207.59911	20.066
207.63199	21.2417
207.66489	17.4876
207.69778	17.373
207.73068	19.1895
207.76358	19.2463
207.79648	19.3319
207.82938	15.8792
207.86227	10.224
207.89517	8.23068
207.92807	10.1247
